               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.083331,             0.48164,            0.071722,            0.044137,            0.053956,            0.027252,            0.014208,            0.076532,             0.39309,            0.071072,            0.002674,            0.002674,            0.002674
                  76,            0.081936,             0.49507,            0.071369,            0.042366,            0.053752,            0.026406,            0.013882,            0.076212,              0.3919,             0.07106,            0.002575,            0.002575,            0.002575
                  77,            0.081919,             0.45327,            0.071615,            0.043697,            0.054488,            0.027157,            0.014396,            0.075992,             0.39113,            0.071053,            0.002476,            0.002476,            0.002476
                  78,            0.080292,             0.44711,            0.071744,            0.043573,            0.054853,            0.027084,            0.014248,            0.075692,             0.39123,            0.071007,            0.002377,            0.002377,            0.002377
                  79,            0.083188,             0.45423,            0.071518,             0.04759,            0.055278,            0.029164,            0.015706,            0.075558,             0.39113,            0.070992,            0.002278,            0.002278,            0.002278
                  80,            0.081148,             0.44025,            0.071546,            0.046979,             0.05536,            0.028813,            0.015523,            0.075609,             0.39106,            0.070972,            0.002179,            0.002179,            0.002179
                  81,            0.082548,             0.46527,             0.07165,            0.047415,            0.055347,            0.029033,            0.015725,            0.075824,             0.39125,            0.070976,             0.00208,             0.00208,             0.00208
                  82,            0.080852,             0.47341,             0.07159,            0.049119,            0.055437,            0.029913,            0.016072,            0.075887,             0.39072,            0.070953,            0.001981,            0.001981,            0.001981
                  83,            0.082564,             0.46677,            0.071617,            0.046416,            0.054798,            0.028563,            0.015639,            0.075523,             0.39082,             0.07093,            0.001882,            0.001882,            0.001882
                  84,            0.081588,              0.4667,            0.071388,            0.046701,             0.05502,            0.028657,            0.015324,            0.075692,             0.39161,            0.070896,            0.001783,            0.001783,            0.001783
                  85,            0.080681,             0.44069,             0.07147,            0.044932,            0.055043,            0.027888,            0.014896,            0.075469,             0.39051,            0.070877,            0.001684,            0.001684,            0.001684
                  86,            0.080449,             0.46313,            0.071235,            0.046493,            0.055057,            0.028726,            0.015313,            0.075375,              0.3904,            0.070858,            0.001585,            0.001585,            0.001585
                  87,             0.08055,             0.44155,            0.071377,            0.046368,            0.054975,            0.028665,            0.015567,            0.075605,             0.38974,            0.070847,            0.001486,            0.001486,            0.001486
                  88,            0.079512,             0.43193,            0.071602,            0.047705,            0.055461,            0.029395,            0.016153,            0.075351,             0.39127,            0.070827,            0.001387,            0.001387,            0.001387
                  89,            0.080104,             0.43787,            0.071532,            0.046174,            0.055206,            0.028764,            0.016121,            0.075241,             0.38998,            0.070827,            0.001288,            0.001288,            0.001288
                  90,            0.079033,             0.46304,            0.071362,            0.047775,            0.055222,            0.029431,            0.016022,            0.075432,             0.38969,            0.070812,            0.001189,            0.001189,            0.001189
                  91,            0.079163,             0.46985,            0.071365,            0.048097,            0.055348,            0.029666,            0.016497,            0.075251,              0.3888,            0.070816,             0.00109,             0.00109,             0.00109
                  92,            0.079133,             0.41879,            0.071334,            0.049128,            0.055654,            0.030402,            0.016963,            0.075022,             0.38884,            0.070797,            0.000991,            0.000991,            0.000991
                  93,            0.082381,             0.44784,            0.071314,            0.048611,            0.055495,            0.030225,            0.016893,            0.075046,             0.38886,            0.070797,            0.000892,            0.000892,            0.000892
                  94,             0.08153,             0.45931,            0.071317,            0.048695,            0.055609,            0.030334,            0.016931,            0.074993,             0.38915,            0.070778,            0.000793,            0.000793,            0.000793
                  95,            0.079334,             0.41921,            0.071733,            0.048269,            0.055893,            0.030056,            0.016783,            0.075156,             0.38946,             0.07077,            0.000694,            0.000694,            0.000694
                  96,            0.078302,             0.42771,            0.071434,            0.048656,            0.055933,            0.030266,            0.017126,             0.07498,             0.38914,             0.07077,            0.000595,            0.000595,            0.000595
                  97,            0.079442,             0.44003,            0.071426,            0.049216,            0.055694,            0.030514,            0.017344,            0.074973,             0.38861,             0.07077,            0.000496,            0.000496,            0.000496
                  98,            0.079476,             0.42214,             0.07124,            0.047737,            0.055577,            0.029759,             0.01666,            0.074927,             0.38847,            0.070763,            0.000397,            0.000397,            0.000397
                  99,            0.079663,             0.46478,            0.071425,            0.047691,            0.055755,            0.029602,            0.016505,             0.07488,             0.38844,            0.070759,            0.000298,            0.000298,            0.000298
